"cls","id","speaker","session"
"cap",1693967131,"shan",1
"air",1693967142,"shan",1
"bat",1693967149,"shan",1
"cap",1693967157,"shan",1
"air",1693967192,"shan",1
"bat",1693967200,"shan",1
"cap",1693967207,"shan",1
"air",1693967215,"shan",1
"bat",1693967223,"shan",1
"cap",1693967230,"shan",1
"air",1693967238,"shan",1
"bat",1693967246,"shan",1
"cap",1693967254,"shan",1
